,Type,Condition,Description,NES,FDR,Category,Positive_value
1,Stage I,A vs B,ALLOGRAFT_REJECTION,-1.687568973,1.37E-09,Immnue,
2,Stage I,A vs B,EPITHELIAL_MESENCHYMAL_TRANSITION,-1.576241167,1.37E-09,Development,
3,Stage I,A vs B,INTERFERON_GAMMA_RESPONSE,-1.520394877,1.42E-07,Immnue,
4,Stage I,A vs B,INFLAMMATORY_RESPONSE,-1.503661165,4.38E-07,Immnue,
5,Stage I,A vs B,APICAL_JUNCTION,-1.320300069,0.002946899,Cellular Component,
6,Stage I,A vs B,MYC_TARGETS_V2,1.656648255,0.003409752,Proliferation,+
7,Stage I,A vs B,ANGIOGENESIS,-1.502393867,0.009523441,Development,
8,Stage I,A vs B,ADIPOGENESIS,-1.279642047,0.009523441,Development,
9,Stage I,A vs B,COAGULATION,-1.307137882,0.010341304,Immnue,
10,Stage I,A vs B,UNFOLDED_PROTEIN_RESPONSE,1.263901501,0.025125115,Pathway,+
11,Stage I,A vs B,SPERMATOGENESIS,-1.278755736,0.02529704,Development,
12,Stage I,A vs B,APICAL_SURFACE,-1.421787672,0.02529704,Cellular Component,
13,Stage I,A vs B,BILE_ACID_METABOLISM,-1.30558416,0.027395817,Metabolic,
14,Stage I,C vs D,ALLOGRAFT_REJECTION,-2.017645338,5.53E-10,Immnue,
15,Stage I,C vs D,EPITHELIAL_MESENCHYMAL_TRANSITION,-1.908557023,5.53E-10,Development,
16,Stage I,C vs D,INFLAMMATORY_RESPONSE,-1.81414481,5.53E-10,Immnue,
17,Stage I,C vs D,KRAS_SIGNALING_UP,-1.779508977,5.53E-10,Signaling,
18,Stage I,C vs D,UV_RESPONSE_DN,-1.630444913,6.24E-06,DNA damage,
19,Stage I,C vs D,G2M_CHECKPOINT,1.597323009,2.02E-05,Proliferation,+
20,Stage I,C vs D,ADIPOGENESIS,-1.529587311,4.72E-05,Development,
21,Stage I,C vs D,MYC_TARGETS_V2,1.893487928,0.000121406,Proliferation,+
22,Stage I,C vs D,MYC_TARGETS_V1,1.579561442,0.000124535,Proliferation,+
23,Stage I,C vs D,APICAL_JUNCTION,-1.490031681,0.000158157,Cellular Component,
24,Stage I,C vs D,PANCREAS_BETA_CELLS,-1.734947483,0.000202961,Development,
25,Stage I,C vs D,COAGULATION,-1.440082585,0.001694649,Immnue,
26,Stage I,C vs D,ANGIOGENESIS,-1.589966294,0.002657995,Development,
27,Stage I,C vs D,BILE_ACID_METABOLISM,-1.443791509,0.003362966,Metabolic,
28,Stage I,C vs D,XENOBIOTIC_METABOLISM,-1.372831545,0.003362966,Metabolic,
29,Stage I,C vs D,APOPTOSIS,-1.347541471,0.015816055,Pathway,
30,Stage I,C vs D,PEROXISOME,-1.375413097,0.016578947,Cellular Component,
31,Stage I,C vs D,ESTROGEN_RESPONSE_EARLY,-1.272828975,0.01965292,Signaling,
32,Stage II,A vs B,ALLOGRAFT_REJECTION,-1.888412989,7.11E-10,Immnue,
33,Stage II,A vs B,EPITHELIAL_MESENCHYMAL_TRANSITION,-1.766286772,7.11E-10,Development,
34,Stage II,A vs B,INFLAMMATORY_RESPONSE,-1.648694693,7.11E-10,Immnue,
35,Stage II,A vs B,KRAS_SIGNALING_UP,-1.65856196,7.11E-10,Signaling,
36,Stage II,A vs B,INTERFERON_GAMMA_RESPONSE,-1.603059651,3.79E-09,Immnue,
37,Stage II,A vs B,MYOGENESIS,-1.598868019,1.14E-08,Development,
38,Stage II,A vs B,COMPLEMENT,-1.558084339,7.93E-08,Immnue,
39,Stage II,A vs B,COAGULATION,-1.60666942,5.94E-07,Immnue,
40,Stage II,A vs B,APICAL_JUNCTION,-1.514857925,1.78E-06,Cellular Component,
41,Stage II,A vs B,IL2_STAT5_SIGNALING,-1.491877694,3.71E-06,Signaling,
42,Stage II,A vs B,UV_RESPONSE_DN,-1.533660849,7.67E-06,DNA damage,
43,Stage II,A vs B,UNFOLDED_PROTEIN_RESPONSE,1.747495556,2.10E-05,Pathway,+
44,Stage II,A vs B,IL6_JAK_STAT3_SIGNALING,-1.586688169,3.30E-05,Immnue,
45,Stage II,A vs B,MTORC1_SIGNALING,1.424786446,5.57E-05,Signaling,+
46,Stage II,A vs B,ANGIOGENESIS,-1.619794454,0.001667087,Development,
47,Stage II,A vs B,PANCREAS_BETA_CELLS,-1.59044062,0.001667087,Development,
48,Stage II,A vs B,ADIPOGENESIS,-1.328266312,0.002812874,Development,
49,Stage II,A vs B,G2M_CHECKPOINT,1.240256557,0.002854775,Proliferation,+
50,Stage II,A vs B,KRAS_SIGNALING_DN,-1.313530556,0.00377287,Signaling,
51,Stage II,A vs B,MYC_TARGETS_V1,1.273841772,0.006147893,Proliferation,+
52,Stage II,C vs D,ALLOGRAFT_REJECTION,-1.861551692,2.71E-10,Immnue,
53,Stage II,C vs D,E2F_TARGETS,2.400885864,2.71E-10,Proliferation,+
54,Stage II,C vs D,EPITHELIAL_MESENCHYMAL_TRANSITION,-1.826448591,2.71E-10,Development,
55,Stage II,C vs D,INFLAMMATORY_RESPONSE,-1.726462976,2.71E-10,Immnue,
56,Stage II,C vs D,INTERFERON_GAMMA_RESPONSE,-1.628502777,2.71E-10,Immnue,
57,Stage II,C vs D,KRAS_SIGNALING_UP,-1.742935467,2.71E-10,Signaling,
58,Stage II,C vs D,MYOGENESIS,-1.62842304,2.71E-10,Development,
59,Stage II,C vs D,COMPLEMENT,-1.605853963,1.73E-09,Immnue,
60,Stage II,C vs D,APICAL_JUNCTION,-1.571032954,1.07E-08,Cellular Component,
61,Stage II,C vs D,COAGULATION,-1.666368701,1.08E-08,Immnue,
62,Stage II,C vs D,IL2_STAT5_SIGNALING,-1.556741398,4.36E-08,Signaling,
63,Stage II,C vs D,UV_RESPONSE_DN,-1.607046041,1.03E-07,DNA damage,
64,Stage II,C vs D,TNFA_SIGNALING_VIA_NFKB,-1.528327747,1.57E-07,Signaling,
65,Stage II,C vs D,MYC_TARGETS_V1,1.871477061,2.21E-07,Proliferation,+
66,Stage II,C vs D,IL6_JAK_STAT3_SIGNALING,-1.70210719,6.79E-07,Immnue,
67,Stage II,C vs D,HYPOXIA,-1.451106269,1.25E-05,Pathway,
68,Stage II,C vs D,APOPTOSIS,-1.458447198,0.000131436,Pathway,
69,Stage II,C vs D,ANGIOGENESIS,-1.677538296,0.000137848,Development,
70,Stage II,C vs D,INTERFERON_ALPHA_RESPONSE,-1.458806418,0.000572891,Immnue,
71,Stage II,C vs D,ADIPOGENESIS,-1.345882228,0.000828117,Development,
72,Stage II,C vs D,ESTROGEN_RESPONSE_LATE,-1.341020587,0.000934996,Signaling,
73,Stage II,C vs D,KRAS_SIGNALING_DN,-1.342257174,0.000934996,Signaling,
74,Stage II,C vs D,MYC_TARGETS_V2,1.740006232,0.000934996,Proliferation,+
75,Stage II,C vs D,HEDGEHOG_SIGNALING,-1.507103014,0.004088011,Signaling,
76,Stage II,C vs D,ESTROGEN_RESPONSE_EARLY,-1.279649583,0.005208096,Signaling,
77,Stage II,C vs D,XENOBIOTIC_METABOLISM,-1.25423083,0.009592066,Metabolic,
78,Stage II,C vs D,PANCREAS_BETA_CELLS,-1.470075246,0.009592066,Development,
79,Stage II,C vs D,APICAL_SURFACE,-1.459500081,0.010650972,Cellular Component,
80,Stage IV,A vs B,ALLOGRAFT_REJECTION,-2.537885341,4.04E-10,Immnue,
81,Stage IV,A vs B,COMPLEMENT,-2.021923438,4.04E-10,Immnue,
82,Stage IV,A vs B,EPITHELIAL_MESENCHYMAL_TRANSITION,-1.991774533,4.04E-10,Development,
83,Stage IV,A vs B,INFLAMMATORY_RESPONSE,-2.269020511,4.04E-10,Immnue,
84,Stage IV,A vs B,INTERFERON_GAMMA_RESPONSE,-2.377256279,4.04E-10,Immnue,
85,Stage IV,A vs B,KRAS_SIGNALING_UP,-1.995059075,4.04E-10,Signaling,
86,Stage IV,A vs B,IL6_JAK_STAT3_SIGNALING,-2.111959209,1.73E-08,Immnue,
87,Stage IV,A vs B,IL2_STAT5_SIGNALING,-1.89400924,4.97E-08,Signaling,
88,Stage IV,A vs B,INTERFERON_ALPHA_RESPONSE,-2.049008704,1.22E-07,Immnue,
89,Stage IV,A vs B,COAGULATION,-1.772915947,4.51E-05,Immnue,
90,Stage IV,A vs B,ADIPOGENESIS,-1.642858275,5.63E-05,Development,
91,Stage IV,A vs B,FATTY_ACID_METABOLISM,-1.47889639,0.00416267,Metabolic,
92,Stage IV,A vs B,MYOGENESIS,-1.452959947,0.00467491,Development,
93,Stage IV,A vs B,E2F_TARGETS,-1.427441192,0.005183737,Proliferation,
94,Stage IV,A vs B,G2M_CHECKPOINT,-1.430908596,0.006287142,Proliferation,
95,Stage IV,A vs B,APOPTOSIS,-1.434103565,0.006556649,Pathway,
96,Stage IV,A vs B,HEME_METABOLISM,-1.365282038,0.019491067,Metabolic,
97,Stage IV,C vs D,ALLOGRAFT_REJECTION,-1.832790087,4.84E-10,Immnue,
98,Stage IV,C vs D,EPITHELIAL_MESENCHYMAL_TRANSITION,-1.806978866,4.84E-10,Development,
99,Stage IV,C vs D,INFLAMMATORY_RESPONSE,-1.692589054,4.84E-10,Immnue,
100,Stage IV,C vs D,INTERFERON_GAMMA_RESPONSE,-1.662533707,4.84E-10,Immnue,
101,Stage IV,C vs D,KRAS_SIGNALING_UP,-1.668581472,4.84E-10,Signaling,
102,Stage IV,C vs D,MYOGENESIS,-1.615369531,1.82E-08,Development,
103,Stage IV,C vs D,COMPLEMENT,-1.572611535,2.03E-07,Immnue,
104,Stage IV,C vs D,MYC_TARGETS_V2,2.234261482,7.48E-06,Proliferation,+
105,Stage IV,C vs D,UV_RESPONSE_DN,-1.56250044,1.47E-05,DNA damage,
106,Stage IV,C vs D,IL2_STAT5_SIGNALING,-1.458820401,2.26E-05,Signaling,
107,Stage IV,C vs D,APICAL_JUNCTION,-1.480649832,3.01E-05,Cellular Component,
108,Stage IV,C vs D,IL6_JAK_STAT3_SIGNALING,-1.61302652,5.21E-05,Immnue,
109,Stage IV,C vs D,TNFA_SIGNALING_VIA_NFKB,-1.413947917,0.000381669,Signaling,
